t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
01mar2024,.54525667,-.53703344,.231673,-1.2099223,-.32799739
04mar2024,-.44388771,.025887603,-.45032877,-.97679007,-.28099102
05mar2024,1.0451288,.52742553,.33252442,-.31770581,.86659008
06mar2024,-.58715171,-.39526972,-.24509318,-1.2108178,-.69243252
07mar2024,.3664723,-.61885488,.11766071,-.77055639,-.51999694
08mar2024,-.019021755,.070507877,-.087841906,-.63944203,.010853725
11mar2024,-.21321812,.58915067,-.28656736,.094214693,.48851585
12mar2024,-1.4129276,-.85260916,.050552867,.84408003,-1.1893455
13mar2024,-.6380856,-.14548866,.18601367,-.62647653,-.42430711
14mar2024,-.28532749,.31778541,-.006149583,.96339959,.3212671
15mar2024,-.5516333,.25305951,.034634937,.35194463,.12793034
18mar2024,-.13821004,-.16949573,.080471881,-.0075644148,-.18959291
19mar2024,.21508136,-.30791178,.20444474,.5810324,-.093346603
20mar2024,1.510442,-.27471212,.17110929,-.62299854,.33102694
21mar2024,-.66738802,-.70805049,-.39894393,.14845666,-.91911632
22mar2024,.72693586,.14975144,.057753015,.91689223,.55509543
25mar2024,-.097883329,.11734894,-.16232654,-.34099782,.051660143
26mar2024,.27895036,-.015334202,.27663204,-.062401488,.15338644
27mar2024,.58420807,-.23879066,-.19660299,-.27510783,.0055800402
28mar2024,-.85345888,.17728929,-.3057164,-.95819068,-.18367112
29mar2024,.040572383,-.014126407,.00069424999,.098778665,.037999805
01apr2024,.2583082,.24184187,-.03148951,.14791092,.44023776
02apr2024,1.0220093,.86079597,.47051376,-.9914937,1.1579475
03apr2024,-.2218799,-.33171296,-.07590954,-1.0221031,-.45611748
04apr2024,.23572354,.20982754,.40410557,-.1107003,.20952985
05apr2024,-.57944471,.60641158,-.98378003,-.52699208,.3460643
08apr2024,-.88085037,-.48066518,.090511568,-.23562235,-.74383998
